Items,Source,Link,Number of Units,Cost Per Unit (€),Full Cost (€)
5V Relay,Aliexpress,https://a.aliexpress.com/_EwlqgFq,2,1.50,3
Soil Moisture Sensor,Aliexpress,https://a.aliexpress.com/_Ev2ZaBm,5,,3.23
12V Grow LED (2m),Aliexpress,https://a.aliexpress.com/_EyjLxdW,1,3.55,3.55
24 AWG White Wire (5m),Aliexpress,https://a.aliexpress.com/_EjvKJsU,1,2.34,2.34
Cheap Yellow Display,Aliexpress,https://a.aliexpress.com/_EweokIy,1,9.99,9.99
5V Fans,Amazon,https://www.amazon.ie/dp/B0DQ4VGPN1?ref=ppx_pop_mob_ap_share,2,,6.54
5V Pumps,Amazon,https://www.amazon.ie/dp/B07F9MT92K?ref=ppx_pop_mob_ap_share,5,,6.99
Tubing,Aliexpress,Listing Gone,1,2,2
Water Level Sensors,Aliexpress,Listing Gone,5,,2.18
RJ45 Keystone Jack,Temu,https://share.temu.com/JZUGjvaZ1yB,10,,5.08
Adhesive Cable Clips,Temu,https://share.temu.com/6uqy8Ea9hlB,50,,1.72
Heat Shrink Sleeve,Temu,https://share.temu.com/fDNtoYvDNAB,580,,2.69
Welding Heat Shrink,Temu,https://share.temu.com/GA9BiFD1OMB,1,,4.91
JST Connectors and Cables,Temu,https://share.temu.com/TebOnDVClAB,1,,4.76
Breadboard,Temu,Listing Gone,1,,1.19
USB C PD Board,Aliexpress,https://a.aliexpress.com/_EyiGVhm,5,,4.71
Temperature Humidity and CO2 Sensor(ENS160+AHT21),Aliexpress,https://a.aliexpress.com/_EvACRI0,1,,4.85
Pi Pico,Aliexpress,https://a.aliexpress.com/_EzoM1ms,5,,9.00
Level Shifter,Aliexpress,https://a.aliexpress.com/_EJrloz2,10,,2.28
Ikea BITTERGURKA,Ikea,https://www.ikea.com/ie/en/p/bittergurka-plant-pot-white-80285787/,1,12,12
Ikea ÅKERBÄR,Ikea,https://www.ikea.com/ie/en/p/akerbaer-greenhouse-in-outdoor-white-30537170/,1,19,19
TOTAL,,,,,112.01